Path,Character,Label,Text,Notes,Classes,Classes_idx
External0/External0 00001.wav,未分类-男,0,,,未分类-男,0
External0/External0 00002.wav,未分类-男,0,,,未分类-女,1
External0/External0 00003.wav,未分类-女,1,,,三月七,2
External0/External0 00004.wav,未分类-男,0,,,希露瓦,3
External0/External0 00005.wav,未分类-男,0,,,姬子,4
External0/External0 00006.wav,三月七,2,,,克拉拉,5
External0/External0 00007.wav,希露瓦,3,,,虎克,6
External0/External0 00008.wav,未分类-女,1,,,布洛妮娅,7
External0/External0 00009.wav,姬子,4,,,帕姆,8
External0/External0 00010.wav,未分类-女,1,,,机器人,9
External0/External0 00011.wav,未分类-男,0,,,卡芙卡,10
External0/External0 00012.wav,未分类-男,0,,,杨叔,11
External0/External0 00013.wav,三月七,2,,,娜塔莎,12
External0/External0 00014.wav,未分类-女,1,,,黑塔,13
External0/External0 00015.wav,未分类-女,1,,,阿兰,14
External0/External0 00016.wav,未分类-男,0,,,素裳,15
External0/External0 00017.wav,三月七,2,,,符玄,16
External0/External0 00018.wav,克拉拉,5,,,桑博,17
External0/External0 00019.wav,克拉拉,5,,,艾丝妲,18
External0/External0 00020.wav,希露瓦,3,,,景元,19
External0/External0 00021.wav,未分类-女,1,,,银狼,20
External0/External0 00022.wav,未分类-男,0,,,丹恒,21
External0/External0 00023.wav,未分类-女,1,,,杰帕德,22
External0/External0 00024.wav,未分类-男,0,,,停云,23
External0/External0 00025.wav,虎克,6,,,佩拉,24
External0/External0 00026.wav,希露瓦,3,,,,
External0/External0 00027.wav,未分类-男,0,,,,
External0/External0 00028.wav,未分类-女,1,,,,
External0/External0 00029.wav,未分类-女,1,,,,
External0/External0 00030.wav,克拉拉,5,,,,
External0/External0 00031.wav,虎克,6,,,,
External0/External0 00032.wav,布洛妮娅,7,,,,
External0/External0 00033.wav,三月七,2,,,,
External0/External0 00034.wav,三月七,2,,,,
External0/External0 00035.wav,帕姆,8,,,,
External0/External0 00036.wav,克拉拉,5,,,,
External0/External0 00037.wav,机器人,9,,,,
External0/External0 00038.wav,卡芙卡,10,,,,
External0/External0 00039.wav,三月七,2,,,,
External0/External0 00040.wav,杨叔,11,,,,
External0/External0 00041.wav,未分类-男,0,,,,
External0/External0 00042.wav,未分类-女,1,,,,
External0/External0 00043.wav,姬子,4,,,,
External0/External0 00044.wav,姬子,4,,,,
External0/External0 00045.wav,未分类-女,1,,,,
External0/External0 00046.wav,未分类-女,1,,,,
External0/External0 00047.wav,未分类-男,0,,,,
External0/External0 00048.wav,机器人,9,,,,
External0/External0 00049.wav,未分类-男,0,,,,
External0/External0 00050.wav,未分类-男,0,,,,
External0/External0 00051.wav,未分类-男,0,,,,
External0/External0 00052.wav,未分类-男,0,,,,
