,Path,Character,Label,Text,Notes,Classes,Classes_idx
0,External0/External0 00001.wav,未分类-男,0.0,,,未分类-男,0.0
1,External0/External0 00002.wav,未分类-男,0.0,,,未分类-女,1.0
2,External0/External0 00003.wav,未分类-女,1.0,,,三月七,2.0
3,External0/External0 00004.wav,未分类-男,0.0,,,希露瓦,3.0
4,External0/External0 00005.wav,未分类-男,0.0,,,姬子,4.0
5,External0/External0 00006.wav,三月七,2.0,,,克拉拉,5.0
6,External0/External0 00007.wav,希露瓦,3.0,,,虎克,6.0
7,External0/External0 00008.wav,未分类-女,1.0,,,布洛妮娅,7.0
8,External0/External0 00009.wav,姬子,4.0,,,帕姆,8.0
9,External0/External0 00010.wav,未分类-女,1.0,,,机器人,9.0
10,External0/External0 00011.wav,未分类-男,0.0,,,卡芙卡,10.0
11,External0/External0 00012.wav,未分类-男,0.0,,,杨叔,11.0
12,External0/External0 00013.wav,三月七,2.0,,,娜塔莎,12.0
13,External0/External0 00014.wav,未分类-女,1.0,,,黑塔,13.0
14,External0/External0 00015.wav,未分类-女,1.0,,,阿兰,14.0
15,External0/External0 00016.wav,未分类-男,0.0,,,素裳,15.0
16,External0/External0 00017.wav,三月七,2.0,,,符玄,16.0
17,External0/External0 00018.wav,克拉拉,5.0,,,桑博,17.0
18,External0/External0 00019.wav,克拉拉,5.0,,,艾丝妲,18.0
19,External0/External0 00020.wav,希露瓦,3.0,,,景元,19.0
20,External0/External0 00021.wav,未分类-女,1.0,,,银狼,20.0
21,External0/External0 00022.wav,未分类-男,0.0,,,丹恒,21.0
22,External0/External0 00023.wav,未分类-女,1.0,,,杰帕德,22.0
23,External0/External0 00024.wav,未分类-男,0.0,,,停云,23.0
24,External0/External0 00025.wav,虎克,6.0,,,佩拉,24.0
25,External0/External0 00026.wav,希露瓦,3.0,,,,
26,External0/External0 00027.wav,未分类-男,0.0,,,,
27,External0/External0 00028.wav,未分类-女,1.0,,,,
28,External0/External0 00029.wav,未分类-女,1.0,,,,
29,External0/External0 00030.wav,克拉拉,5.0,,,,
30,External0/External0 00031.wav,虎克,6.0,,,,
31,External0/External0 00032.wav,布洛妮娅,7.0,,,,
32,External0/External0 00033.wav,三月七,2.0,,,,
33,External0/External0 00034.wav,三月七,2.0,,,,
34,External0/External0 00035.wav,帕姆,8.0,,,,
35,External0/External0 00036.wav,克拉拉,5.0,,,,
36,External0/External0 00037.wav,机器人,9.0,,,,
37,External0/External0 00038.wav,卡芙卡,10.0,,,,
38,External0/External0 00039.wav,三月七,2.0,,,,
39,External0/External0 00040.wav,杨叔,11.0,,,,
40,External0/External0 00041.wav,未分类-男,0.0,,,,
41,External0/External0 00042.wav,未分类-女,1.0,,,,
42,External0/External0 00043.wav,姬子,4.0,,,,
43,External0/External0 00044.wav,姬子,4.0,,,,
44,External0/External0 00045.wav,未分类-女,1.0,,,,
45,External0/External0 00046.wav,未分类-女,1.0,,,,
46,External0/External0 00047.wav,未分类-男,0.0,,,,
47,External0/External0 00048.wav,机器人,9.0,,,,
48,External0/External0 00049.wav,未分类-男,0.0,,,,
49,External0/External0 00050.wav,未分类-男,0.0,,,,
50,External0/External0 00051.wav,未分类-男,0.0,,,,
51,External0/External0 00052.wav,未分类-男,0.0,,,,
52,External0/External0 00053.wav,娜塔莎,12.0,,,,
53,External0/External0 00054.wav,未分类-女,1.0,,,,
54,External0/External0 00055.wav,未分类-男,0.0,,,,
55,External0/External0 00056.wav,未分类-女,1.0,,,,
56,External0/External0 00057.wav,未分类-男,0.0,,,,
57,External0/External0 00058.wav,未分类-男,0.0,,,,
58,External0/External0 00059.wav,黑塔,13.0,,,,
59,External0/External0 00060.wav,三月七,2.0,,,,
60,External0/External0 00061.wav,未分类-女,1.0,,,,
61,External0/External0 00062.wav,阿兰,14.0,,,,
62,External0/External0 00063.wav,三月七,2.0,,,,
63,External0/External0 00064.wav,帕姆,8.0,,,,
64,External0/External0 00065.wav,三月七,2.0,,,,
65,External0/External0 00066.wav,素裳,15.0,,,,
66,External0/External0 00067.wav,未分类-女,1.0,,,,
67,External0/External0 00068.wav,未分类-女,1.0,,,,
68,External0/External0 00069.wav,希露瓦,3.0,,,,
69,External0/External0 00070.wav,未分类-女,1.0,,,,
70,External0/External0 00071.wav,虎克,6.0,,,,
71,External0/External0 00072.wav,符玄,16.0,,,,
72,External0/External0 00073.wav,未分类-男,0.0,,,,
73,External0/External0 00074.wav,克拉拉,5.0,,,,
74,External0/External0 00075.wav,希露瓦,3.0,,,,
75,External0/External0 00076.wav,未分类-男,0.0,,,,
76,External0/External0 00077.wav,未分类-女,1.0,,,,
77,External0/External0 00078.wav,未分类-男,0.0,,,,
78,External0/External0 00079.wav,桑博,17.0,,,,
79,External0/External0 00080.wav,未分类-女,1.0,,,,
80,External0/External0 00081.wav,未分类-男,0.0,,,,
81,External0/External0 00082.wav,三月七,2.0,,,,
82,External0/External0 00083.wav,三月七,2.0,,,,
83,External0/External0 00084.wav,符玄,16.0,,,,
84,External0/External0 00085.wav,克拉拉,5.0,,,,
85,External0/External0 00086.wav,三月七,2.0,,,,
86,External0/External0 00087.wav,布洛妮娅,7.0,,,,
